True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,PPP Pos. (Correct),PPP Pins (Correct),LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Label (After Moving Pos.),Replace w/ PPP Label,Cav. Map. LVR Label (After Moving Pos.),Replace w/ LVR Label
Mirror,mag,alpha,JP9,JPU2,S2M,P3,A,P3,"6,14",15,5,7.6,7.8,P4 - 6/14 | PT_b_alpha_X2S_P3,P3 - 6/14 | PT_b_alpha_S2M_P3,1 - J12 - 2/1 2b | PT_b_alpha_X2S_P3,15 - J13 - 8/7 2e | PT_b_alpha_S2M_P3
Mirror,mag,alpha,JP4,JPU1,S1S,P1E,S,P3,"7,15",21,8 Y 6,7.6,|8.4|,P4 - 7/15 | PT_b_alpha_X1M_P1E,P3 - 7/15 | PT_b_alpha_S1S_P1E,11 - J12 - 2/1 2a | PT_b_alpha_X1M_P1E   Y   11 - J12 - 6/5 2a | PT_b_alpha_X1M_P1E,21 - J13 - 2/1 1b | PT_b_alpha_S1S_P1E   Y   21 - J13 - 6/5 1b | PT_b_alpha_S1S_P1E
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP0,JPU0,S0S,P1W,A,P7,"1,9",19,8,7.6,|8.4|,P9 - 1/9 | PT_b_beta_S0M_P1W,P7 - 1/9 | PT_b_beta_S0S_P1W,24 - J12 - 2/1 1b | PT_b_beta_S0M_P1W,19 - J13 - 2/1 1b | PT_b_beta_S0S_P1W
Mirror,mag,beta,JP0,JPU0,S0S,P2E,A,P7,"2,10",19,5,7.6,|8.4|,P9 - 2/10 | PT_b_beta_S0M_P2E,P7 - 2/10 | PT_b_beta_S0S_P2E,19 - J12 - 2/1 1b | PT_b_beta_S0M_P2E,19 - J13 - 8/7 1b | PT_b_beta_S0S_P2E
Mirror,mag,beta,JP0,JPU0,S0S,P3,A,P7,"3,11",16,3,7.2,7.8,P9 - 3/11 | PT_b_beta_S0M_P3,P7 - 3/11 | PT_b_beta_S0S_P3,16 - J12 - 8/7 2a | PT_b_beta_S0M_P3,16 - J12 - 4/3 2a | PT_b_beta_S0S_P3
Mirror,mag,beta,JP1,JPU0,S0M,P1W,A,P7,"4,12",24,4,7.6,|8.4|,P9 - 4/12 | PT_b_beta_S0S_P1W,P7 - 4/12 | PT_b_beta_S0M_P1W,19 - J13 - 2/1 1b | PT_b_beta_S0S_P1W,24 - J12 - 2/1 1b | PT_b_beta_S0M_P1W
Mirror,mag,beta,JP1,JPU0,S0M,P2E,A,P7,"5,13",19,4,7.6,|8.4|,P9 - 5/13 | PT_b_beta_S0S_P2E,P7 - 5/13 | PT_b_beta_S0M_P2E,19 - J13 - 8/7 1b | PT_b_beta_S0S_P2E,19 - J12 - 2/1 1b | PT_b_beta_S0M_P2E
Mirror,mag,beta,JP1,JPU0,S0M,P3,A,P7,"6,14",16,1,7.2,7.8,P9 - 6/14 | PT_b_beta_S0S_P3,P7 - 6/14 | PT_b_beta_S0M_P3,16 - J12 - 4/3 2a | PT_b_beta_S0S_P3,16 - J12 - 8/7 2a | PT_b_beta_S0M_P3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP4,JPU1,S1S,P1W,A,P8,"1,9",19,6,7.6,|8.4|,P8 - 1/9 | PT_b_beta_S1M_P1W,P8 - 1/9 | PT_b_beta_S1S_P1W,24 - J12 - 8/7 1b | PT_b_beta_S1M_P1W,19 - J13 - 6/5 1b | PT_b_beta_S1S_P1W
Mirror,mag,beta,JP4,JPU1,S1S,P2E,A,P8,"2,10",16,4,7.2,7.8,P8 - 2/10 | PT_b_beta_S1M_P2E,P8 - 2/10 | PT_b_beta_S1S_P2E,19 - J12 - 4/3 1b | PT_b_beta_S1M_P2E,16 - J12 - 2/1 2a | PT_b_beta_S1S_P2E
Mirror,mag,beta,JP4,JPU1,S1S,P3,A,P8,"3,11",14,3,|6.8|,7.2,P8 - 3/11 | PT_b_beta_S1M_P3,P8 - 3/11 | PT_b_beta_S1S_P3,16 - J12 - 6/5 2a | PT_b_beta_S1M_P3,14 - J12 - 4/3 2b | PT_b_beta_S1S_P3
Mirror,mag,beta,JP5,JPU1,S1M,P1W,A,P8,"4,12",24,1,7.6,|8.4|,P8 - 4/12 | PT_b_beta_S1S_P1W,P8 - 4/12 | PT_b_beta_S1M_P1W,19 - J13 - 6/5 1b | PT_b_beta_S1S_P1W,24 - J12 - 8/7 1b | PT_b_beta_S1M_P1W
Mirror,mag,beta,JP5,JPU1,S1M,P2E,A,P8,"5,13",19,3,7.6,|8.4|,P8 - 5/13 | PT_b_beta_S1S_P2E,P8 - 5/13 | PT_b_beta_S1M_P2E,16 - J12 - 2/1 2a | PT_b_beta_S1S_P2E,19 - J12 - 4/3 1b | PT_b_beta_S1M_P2E
Mirror,mag,beta,JP5,JPU1,S1M,P3,A,P8,"6,14",16,2,7.2,7.8,P8 - 6/14 | PT_b_beta_S1S_P3,P8 - 6/14 | PT_b_beta_S1M_P3,14 - J12 - 4/3 2b | PT_b_beta_S1S_P3,16 - J12 - 6/5 2a | PT_b_beta_S1M_P3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP8,JPU2,S2S,P1W,A,P9,"1,9",19,1,7.6,|8.4|,P10 - 1/9 | PT_b_beta_X2M_P1W,P9 - 1/9 | PT_b_beta_S2S_P1W,12 - J12 - 6/5 2a | PT_b_beta_X2M_P1W,19 - J12 - 8/7 1b | PT_b_beta_S2S_P1W
Mirror,mag,beta,JP8,JPU2,S2S,P2E,A,P9,"2,10",16,7,7.2,7.8,P10 - 2/10 | PT_b_beta_X2M_P2E,P9 - 2/10 | PT_b_beta_S2S_P2E,7 - J12 - 6/5 2a | PT_b_beta_X2M_P2E,16 - J13 - 4/3 2a | PT_b_beta_S2S_P2E
Mirror,mag,beta,JP8,JPU2,S2S,P3,A,P9,"3,11",14,4,|6.8|,7.2,P10 - 3/11 | PT_b_beta_X2M_P3,P9 - 3/11 | PT_b_beta_S2S_P3,4 - J13 - 8/7 2a | PT_b_beta_X2M_P3,14 - J12 - 2/1 2b | PT_b_beta_S2S_P3
Mirror,mag,beta,JP9,JPU2,S2M,P1W,A,P9,"4,12",24,2,7.6,|8.4|,P10 - 4/12 | PT_b_beta_X2S_P1W,P9 - 4/12 | PT_b_beta_S2M_P1W,7 - J12 - 8/7 2a | PT_b_beta_X2S_P1W,24 - J12 - 6/5 1b | PT_b_beta_S2M_P1W
Mirror,mag,beta,JP9,JPU2,S2M,P2E,A,P9,"5,13",19,2,7.6,|8.4|,P10 - 5/13 | PT_b_beta_X2S_P2E,P9 - 5/13 | PT_b_beta_S2M_P2E,4 - J13 - 4/3 2a | PT_b_beta_X2S_P2E,19 - J12 - 6/5 1b | PT_b_beta_S2M_P2E
Mirror,mag,beta,JP9,JPU2,S2M,P3,A,P9,"6,14",16,5,7.6,7.8,P10 - 6/14 | PT_b_beta_X2S_P3,P9 - 6/14 | PT_b_beta_S2M_P3,2 - J12 - 2/1 2b | PT_b_beta_X2S_P3,16 - J13 - 8/7 2e | PT_b_beta_S2M_P3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP0,JPU0,S0S,P1W,A,P13,"1,9",20,8,7.6,|8.4|,P16 - 1/9 | PT_b_gamma_X2M_P1W,P13 - 1/9 | PT_b_gamma_S0S_P1W,12 - J13 - 6/5 2a | PT_b_gamma_X2M_P1W,20 - J13 - 2/1 1b | PT_b_gamma_S0S_P1W
Mirror,mag,gamma,JP0,JPU0,S0S,P2E,A,P13,"2,10",20,5,7.6,|8.4|,P16 - 2/10 | PT_b_gamma_X2M_P2E,P13 - 2/10 | PT_b_gamma_S0S_P2E,8 - J12 - 6/5 2a | PT_b_gamma_X2M_P2E,20 - J13 - 8/7 1b | PT_b_gamma_S0S_P2E
Mirror,mag,gamma,JP0,JPU0,S0S,P3,A,P13,"3,11",17,3,7.2,7.8,P16 - 3/11 | PT_b_gamma_X2M_P3,P13 - 3/11 | PT_b_gamma_S0S_P3,5 - J13 - 8/7 2a | PT_b_gamma_X2M_P3,17 - J12 - 4/3 2a | PT_b_gamma_S0S_P3
Mirror,mag,gamma,JP1,JPU0,S0M,P1W,A,P13,"4,12",24,8,7.6,|8.4|,P16 - 4/12 | PT_b_gamma_X2S_P1W,P13 - 4/12 | PT_b_gamma_S0M_P1W,8 - J12 - 8/7 2a | PT_b_gamma_X2S_P1W,24 - J13 - 2/1 1b | PT_b_gamma_S0M_P1W
