True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,Cav. Map. PPP Pos.,Cav. Map. PPP Pins,Surf. Map. PPP Pos.,Surf. Map. PPP Pins,LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Pop.,Surf. Map. PPP Pop.
Mirror,mag,alpha,JP10,JPU2,X2M,P1W,A,P4,"1,9",P6,"4,12",11,5.0,7.2,7.800000000000001,7,6
Mirror,mag,alpha,JP10,JPU2,X2M,P2E,A,P4,"2,10",P6,"5,13",6,2.0,7.2,7.800000000000001,7,6
Mirror,mag,alpha,JP10,JPU2,X2M,P3,A,P4,"3,11",P6,"6,14",3,5.0,7.2,7.800000000000001,7,6
Mirror,mag,alpha,JP7,JPU1,X1S,P1E,S,P5,"8,16",P6,"7,15",9,8.0,7.2,7.800000000000001,8,6
Mirror,mag,alpha,JP7,JPU1,X1S,P1E,S,P5,"8,16",P6,"7,15",9,6.0,splice,splice,8,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP3,JPU0,X0S,P1W,A,P12,"4,12",P10,"1,9",7,8.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP3,JPU1,X0S,P2E,A,P12,"5,13",P10,"2,10",7,5.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP3,JPU1,X0S,P3,A,P12,"6,14",P10,"3,11",4,3.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP2,JPU0,X0M,P1W,A,P12,"1,9",P10,"4,12",12,4.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP2,JPU0,X0M,P2E,A,P12,"2,10",P10,"5,13",7,4.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP2,JPU0,X0M,P3,A,P12,"3,11",P10,"6,14",4,1.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP7,JPU1,X1S,P1W,A,P11,"4,12",P11,"1,9",7,6.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP7,JPU1,X1S,P2E,A,P11,"5,13",P11,"2,10",4,4.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP7,JPU1,X1S,P3,A,P11,"6,14",P11,"3,11",2,3.0,|6.8|,7.2,6,6
Mirror,mag,beta,JP6,JPU1,X1M,P1W,A,P11,"1,9",P11,"4,12",12,1.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP6,JPU1,X1M,P2E,A,P11,"2,10",P11,"5,13",7,3.0,7.2,7.800000000000001,6,6
Mirror,mag,beta,JP6,JPU1,X1M,P3,A,P11,"3,11",P11,"6,14",4,2.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
