PPP Label,Pos. Src,Pos. Ret,Backplane,BP Con.,Flex Name,4ASIC-group/DCB power,SBC Label,LVR Logical ID,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Measured Current,Result,Comments
P9,4,12,beta,JP9,S2M,P1W,56 - J12 - 6/5,56,2,A,,,,,
P9,5,13,beta,JP9,S2M,P2E,51 - J13 - 6/5,51,6,A,,,,,
P9,6,14,beta,JP9,S2M,P3,49 - J13 - 6/5,49,6,A,,,,,
P25,1,9,beta,JP1,S0M,P4,48 - J12 - 8/7,48,1,A,,,,,
P25,2,10,beta,JP5,S1M,P4,48 - J12 - 6/5,48,2,A,,,,,
P25,3,11,beta,JP9,S2M,P4,47 - J13 - 6/5,47,6,A,,,,,
P10,1,9,beta,JP3,X0S,P1W,42 - J12 - 2/1,42,4,A,,,,,
P10,2,10,beta,JP3,X0S,P2E,42 - J12 - 8/7,42,1,A,,,,,
P10,3,11,beta,JP3,X0S,P3,40 - J12 - 4/3,40,3,A,,,,,
P10,4,12,beta,JP2,X0M,P1W,46 - J12 - 2/1,46,4,A,,,,,
P10,5,13,beta,JP2,X0M,P2E,41 - J13 - 2/1,41,8,A,,,,,
P10,6,14,beta,JP2,X0M,P3,40 - J12 - 8/7,40,1,A,,,,,
P11,1,9,beta,JP7,X1S,P1W,42 - J12 - 6/5,42,2,A,,,,,
P11,2,10,beta,JP7,X1S,P2E,40 - J12 - 2/1,40,4,A,,,,,
P11,3,11,beta,JP7,X1S,P3,38 - J12 - 4/3,38,3,A,,,,,
P11,4,12,beta,JP6,X1M,P1W,46 - J12 - 8/7,46,1,A,,,,,
P11,5,13,beta,JP6,X1M,P2E,41 - J13 - 4/3,41,7,A,,,,,
P11,6,14,beta,JP6,X1M,P3,40 - J12 - 6/5,40,2,A,,,,,
P12,1,9,beta,JP11,X2S,P1W,41 - J13 - 8/7,41,5,A,,,,,
P12,2,10,beta,JP11,X2S,P2E,39 - J13 - 2/1,39,8,A,,,,,
P12,4,12,beta,JP10,X2M,P1W,46 - J12 - 6/5,46,2,A,,,,,
P12,5,13,beta,JP10,X2M,P2E,41 - J13 - 6/5,41,6,A,,,,,
P12,6,14,beta,JP10,X2M,P3,39 - J13 - 6/5,39,6,A,,,,,
P28,1,9,beta,JP2,X0M,P4,38 - J12 - 8/7,38,1,A,,,,,
P28,2,10,beta,JP6,X1M,P4,38 - J12 - 6/5,38,2,A,,,,,
P28,3,11,beta,JP10,X2M,P4,37 - J13 - 6/5,37,6,A,,,,,
P28,4,12,beta,JP11,X2S,P3,38 - J12 - 2/1,38,4,A,,,,,
P20,1,9,alpha,JD7,n/a,1V5,59 - J13 - 8/7,59,5.0,M,,,,,
P20,2,10,alpha,JD7,n/a,1V5,59 - J13 - 6/5,59,6.0,S,,,,,
P20,3,11,alpha,JD7-6,n/a,2V5,65 - J13 - 8/7,65,5.0,A,,,,,
P20,4,12,alpha,JD8,n/a,1V5,57 - J13 - 4/3,57,7.0,M,,,,,
P20,5,13,alpha,JD8,n/a,1V5,57 - J13 - 2/1,57,8.0,S,,,,,
P20,6,14,alpha,JD11-10,n/a,2V5,65 - J12 - 6/5,65,2.0,A,,,,,
P20,7,15,alpha,JD11,n/a,1V5,58 - J13 - 4/3,58,7.0,M,,,,,
P21,1,9,alpha,JD0,n/a,1V5,57 - J12 - 4/3,57,3.0,M,,,,,
P21,2,10,alpha,JD1,n/a,1V5,57 - J12 - 6/5,57,2.0,S,,,,,
P21,3,11,alpha,JD1,n/a,1V5,57 - J12 - 8/7,57,1.0,M,,,,,
P21,4,12,alpha,JD4,n/a,1V5,59 - J12 - 4/3,59,3.0,M,,,,,
P21,5,13,alpha,JD4,n/a,1V5,59 - J12 - 2/1,59,4.0,S,,,,,
P21,6,14,alpha,JD0,n/a,1V5,57 - J12 - 2/1,57,4.0,S,,,,,
P21,7,15,alpha,JD3-2,n/a,2V5,65 - J12 - 4/3,65,3.0,A,,,,,
P23,1,9,alpha,JD6,n/a,1V5,59 - J13 - 2/1,59,8.0,S,,,,,
P23,2,10,alpha,JD6,n/a,1V5,59 - J13 - 4/3,59,7.0,M,,,,,
P23,3,11,alpha,JD9,n/a,1V5,57 - J13 - 6/5,57,6.0,S,,,,,
P23,4,12,alpha,JD9-8,n/a,2V5,65 - J13 - 6/5,65,6.0,A,,,,,
P23,5,13,alpha,JD9,n/a,1V5,57 - J13 - 8/7,57,5.0,M,,,,,
P23,6,14,alpha,JD10,n/a,1V5,58 - J12 - 2/1,58,4.0,S,,,,,
P23,7,15,alpha,JD10,n/a,1V5,58 - J12 - 4/3,58,3.0,M,,,,,
P23,8,16,alpha,JD11,n/a,1V5,58 - J13 - 2/1,58,8.0,S,,,,,
P24,1,9,alpha,JD1-0,n/a,2V5,65 - J13 - 2/1,65,8.0,A,,,,,
P24,2,10,alpha,JD3,n/a,1V5,58 - J13 - 8/7,58,5.0,M,,,,,
P24,3,11,alpha,JD5,n/a,1V5,59 - J12 - 6/5,59,2.0,S,,,,,
P24,4,12,alpha,JD5-4,n/a,2V5,65 - J13 - 4/3,65,7.0,A,,,,,
P24,5,13,alpha,JD5,n/a,1V5,59 - J12 - 8/7,59,1.0,M,,,,,
P24,6,14,alpha,JD3,n/a,1V5,58 - J13 - 6/5,58,6.0,S,,,,,
P24,7,15,alpha,JD2,n/a,1V5,58 - J12 - 8/7,58,1.0,M,,,,,
P24,8,16,alpha,JD2,n/a,1V5,58 - J12 - 6/5,58,2.0,S,,,,,
P1,1,9,alpha,JP0,S0S,P1W,54 - J12 - 4/3  Y  54 - J12 - 8/7,54,3 Y 1,M,,,,,
P1,2,10,alpha,JP0,S0S,P2E,53 - J12 - 2/1  Y  53 - J12 - 6/5,53,4 Y 2,M,,,,,
P1,3,11,alpha,JP0,S0S,P3,49 - J12 - 4/3,49,3,A,,,,,
P1,4,12,alpha,JP1,S0M,P1W,54 - J13 - 4/3  Y  54 - J13 - 8/7,54,7 Y 5,M,,,,,
P1,5,13,alpha,JP1,S0M,P2E,51 - J12 - 2/1,51,4,A,,,,,
P1,6,14,alpha,JP1,S0M,P3,49 - J12 - 8/7,49,1,A,,,,,
P1,7,15,alpha,JP0,S0S,P1E,54 - J12 - 2/1  Y  54 - J12 - 6/5,54,4 Y 2,S,,,,,
P1,8,16,alpha,JP1,S0M,P1E,54 - J13 - 2/1  Y  54 - J13 - 6/5,54,8 Y 6,S,,,,,
P2,1,9,alpha,JP4,S1S,P1W,53 - J13 - 4/3  Y  53 - J13 - 8/7,53,7 Y 5,M,,,,,
P2,2,10,alpha,JP4,S1S,P2E,49 - J12 - 2/1,49,4,A,,,,,
P2,3,11,alpha,JP4,S1S,P3,47 - J12 - 4/3,47,3,A,,,,,
P2,4,12,alpha,JP5,S1M,P1W,55 - J12 - 4/3  Y  55 - J12 - 8/7,55,3 Y 1,M,,,,,
P2,5,13,alpha,JP5,S1M,P2E,51 - J12 - 4/3,51,3,A,,,,,
P2,6,14,alpha,JP5,S1M,P3,49 - J12 - 6/5,49,2,A,,,,,
P2,7,15,alpha,JP0,S0S,P2W,53 - J12 - 4/3  Y  53 - J12 - 8/7,53,3 Y 1,S,,,,,
P2,8,16,alpha,JP5,S1M,P1E,55 - J12 - 2/1  Y  55 - J12 - 6/5,55,4 Y 2,S,,,,,
P3,1,9,alpha,JP8,S2S,P1W,51 - J12 - 8/7,51,1,A,,,,,
P3,2,10,alpha,JP8,S2S,P2E,49 - J13 - 4/3,49,7,A,,,,,
P3,3,11,alpha,JP8,S2S,P3,47 - J12 - 2/1,47,4,A,,,,,
P3,4,12,alpha,JP9,S2M,P1W,55 - J13 - 8/7,55,5,A,,,,,
P3,5,13,alpha,JP9,S2M,P2E,51 - J12 - 6/5,51,2,A,,,,,
P3,6,14,alpha,JP9,S2M,P3,49 - J13 - 8/7,49,5,A,,,,,
P3,7,15,alpha,JP4,S1S,P1E,53 - J13 - 2/1  Y  53 - J13 - 6/5,53,8 Y 6,S,,,,,
P19,1,9,alpha,JP1,S0M,P4,47 - J12 - 8/7,47,1,A,,,,,
P19,2,10,alpha,JP5,S1M,P4,47 - J12 - 6/5,47,2,A,,,,,
P19,3,11,alpha,JP9,S2M,P4,47 - J13 - 8/7,47,5,A,,,,,
P19,5,13,alpha,JP0,S0S,P4,47 - J13 - 4/3,47,7,A,,,,,
P4,1,9,alpha,JP3,X0S,P1W,44 - J12 - 4/3  Y  44 - J12 - 8/7,44,3 Y 1,M,,,,,
P4,2,10,alpha,JP3,X0S,P2E,43 - J12 - 2/1  Y  43 - J12 - 6/5,43,4 Y 2,M,,,,,
P4,3,11,alpha,JP3,X0S,P3,39 - J12 - 4/3,39,3,A,,,,,
P4,4,12,alpha,JP2,X0M,P1W,44 - J13 - 4/3  Y  44 - J13 - 8/7,44,7 Y 5,M,,,,,
P4,5,13,alpha,JP2,X0M,P2E,41 - J12 - 2/1,41,4,A,,,,,
P4,6,14,alpha,JP2,X0M,P3,39 - J12 - 8/7,39,1,A,,,,,
P4,7,15,alpha,JP3,X0S,P1E,44 - J12 - 2/1  Y  44 - J12 - 6/5,44,4 Y 2,S,,,,,
P4,8,16,alpha,JP2,X0M,P1E,44 - J13 - 2/1  Y  44 - J13 - 6/5,44,8 Y 6,S,,,,,
P5,1,9,alpha,JP7,X1S,P1W,43 - J13 - 4/3  Y  43 - J13 - 8/7,43,7 Y 5,M,,,,,
P5,2,10,alpha,JP7,X1S,P2E,39 - J12 - 2/1,39,4,A,,,,,
P5,3,11,alpha,JP7,X1S,P3,37 - J12 - 4/3,37,3,A,,,,,
