PPP Label,Pos. Src,Pos. Ret,Backplane,BP Con.,Flex Name,4ASIC-group/DCB power,SBC Label,LVR Logical ID,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Measured Current,Result,Comments
P3,1,9,alpha,JP8,S2S,P1W,18 - J12 - 8/7,18,1,A,,,,,
P3,2,10,alpha,JP8,S2S,P2E,15 - J13 - 4/3,15,7,A,,,,,
P3,3,11,alpha,JP8,S2S,P3,13 - J12 - 2/1,13,4,A,,,,,
P3,4,12,alpha,JP9,S2M,P1W,23 - J13 - 8/7,23,5,A,,,,,
P3,5,13,alpha,JP9,S2M,P2E,18 - J12 - 6/5,18,2,A,,,,,
P3,6,14,alpha,JP9,S2M,P3,15 - J13 - 8/7,15,5,A,,,,,
P3,7,15,alpha,JP4,S1S,P1E,21 - J13 - 2/1  Y  21 - J13 - 6/5,21,8 Y 6,S,,,,,
P19,1,9,alpha,JP1,S0M,P4,13 - J12 - 8/7,13,1,A,,,,,
P19,2,10,alpha,JP5,S1M,P4,13 - J12 - 6/5,13,2,A,,,,,
P19,3,11,alpha,JP9,S2M,P4,13 - J13 - 8/7,13,5,A,,,,,
P19,5,13,alpha,JP0,S0S,P4,13 - J13 - 4/3,13,7,A,,,,,
P4,1,9,alpha,JP3,X0S,P1W,10 - J12 - 4/3  Y  10 - J12 - 8/7,10,3 Y 1,M,,,,,
P4,2,10,alpha,JP3,X0S,P2E,9 - J12 - 2/1  Y  9 - J12 - 6/5,9,4 Y 2,M,,,,,
P4,3,11,alpha,JP3,X0S,P3,3 - J12 - 4/3,3,3,A,,,,,
P4,4,12,alpha,JP2,X0M,P1W,10 - J13 - 4/3  Y  10 - J13 - 8/7,10,7 Y 5,M,,,,,
P4,5,13,alpha,JP2,X0M,P2E,6 - J12 - 2/1,6,4,A,,,,,
P4,6,14,alpha,JP2,X0M,P3,3 - J12 - 8/7,3,1,A,,,,,
P4,7,15,alpha,JP3,X0S,P1E,10 - J12 - 2/1  Y  10 - J12 - 6/5,10,4 Y 2,S,,,,,
P4,8,16,alpha,JP2,X0M,P1E,10 - J13 - 2/1  Y  10 - J13 - 6/5,10,8 Y 6,S,,,,,
P5,1,9,alpha,JP7,X1S,P1W,9 - J13 - 4/3  Y  9 - J13 - 8/7,9,7 Y 5,M,,,,,
P5,2,10,alpha,JP7,X1S,P2E,3 - J12 - 2/1,3,4,A,,,,,
P5,3,11,alpha,JP7,X1S,P3,1 - J12 - 4/3,1,3,A,,,,,
P5,4,12,alpha,JP6,X1M,P1W,11 - J12 - 4/3  Y  11 - J12 - 8/7,11,3 Y 1,M,,,,,
P5,5,13,alpha,JP6,X1M,P2E,6 - J12 - 4/3,6,3,A,,,,,
P5,6,14,alpha,JP6,X1M,P3,3 - J12 - 6/5,3,2,A,,,,,
P5,7,15,alpha,JP3,X0S,P2W,9 - J12 - 4/3  Y  9 - J12 - 8/7,9,3 Y 1,S,,,,,
P5,8,16,alpha,JP6,X1M,P1E,11 - J12 - 2/1  Y  11 - J12 - 6/5,11,4 Y 2,S,,,,,
P6,1,9,alpha,JP11,X2S,P1W,6 - J12 - 8/7,6,1,A,,,,,
P6,2,10,alpha,JP11,X2S,P2E,3 - J13 - 4/3,3,7,A,,,,,
P6,4,12,alpha,JP10,X2M,P1W,11 - J13 - 8/7,11,5,A,,,,,
P6,5,13,alpha,JP10,X2M,P2E,6 - J12 - 6/5,6,2,A,,,,,
P6,6,14,alpha,JP10,X2M,P3,3 - J13 - 8/7,3,5,A,,,,,
P6,7,15,alpha,JP7,X1S,P1E,9 - J13 - 2/1  Y  9 - J13 - 6/5,9,8 Y 6,S,,,,,
P22,1,9,alpha,JP2,X0M,P4,1 - J12 - 8/7,1,1,A,,,,,
P22,2,10,alpha,JP6,X1M,P4,1 - J12 - 6/5,1,2,A,,,,,
P22,3,11,alpha,JP10,X2M,P4,1 - J13 - 8/7,1,5,A,,,,,
P22,4,12,alpha,JP11,X2S,P3,1 - J12 - 2/1,1,4,A,,,,,
P22,5,13,alpha,JP3,X0S,P4,1 - J13 - 4/3,1,7,A,,,,,
