Sensed Flex,Sensed 4ASIC-group/DCB power,PPP Label,PPP Twisted Pair,Sense Line,Splitter Input,Splitter Output,LVR Con.,LVR Number,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Result,Comments
X1S,P1W,D9, 3-6,alpha_12_6X,S1-51,Type 1 - OUT a,J16,43,7,M,,,,
X0S,P1W,D9, 7-8,alpha_12_6X,S1-51,Type 1 - OUT b,J10,44,3,M,,,,
S0M,P1W,D11, 1-2,alpha_12_7U,-,direct,J16,54,5,M,,,,
S0M,P1W,D11, 3-6,alpha_12_7U,-,direct,J16,54,7,M,,,,
X0S,P2W,E9, 1-2,alpha_12_5X,-,direct,J10,43,1,S,,,,
X0S,P2W,E9, 3-6,alpha_12_5X,-,direct,J10,43,3,S,,,,
S1S,P1W,E11, 1-2,alpha_12_6U,S1-9,Type 1 - OUT a,J16,53,5,M,,,,
S0S,P1W,E11, 4-5,alpha_12_6U,S1-9,Type 1 - OUT b,J10,54,1,M,,,,
S1S,P1W,E11, 3-6,alpha_12_6U,S1-9,Type 1 - OUT a,J16,53,7,M,,,,
S0S,P1W,E11, 7-8,alpha_12_6U,S1-9,Type 1 - OUT b,J10,54,3,M,,,,
X2S,P1W,F9, 1-2,alpha_12_4X,-,direct,J10,41,1,A,,,,
X2M,P2E,F9, 4-5,alpha_12_4X,-,direct,J10,41,2,A,,,,
X1M,P2E,F9, 3-6,alpha_12_4X,-,direct,J10,41,3,A,,,,
X0M,P2E,F9, 7-8,alpha_12_4X,-,direct,J10,41,4,A,,,,
S0S,P2W,F11, 1-2,alpha_12_5U,-,direct,J10,53,1,S,,,,
S0S,P2W,F11, 3-6,alpha_12_5U,-,direct,J10,53,3,S,,,,
X2M,P4,G9, 1-2,alpha_12_3X,S3-1_1,Type 3 - OUT a,J16,37,5,A,,,,
X2M,P3,G9, 4-5,alpha_12_3X,S3-1_1,Type 3 - OUT b,J16,39,5,A,,,,
X0S,P4,G9, 3-6,alpha_12_3X,S3-1_1,Type 3 - OUT a,J16,37,7,A,,,,
X2S,P2E,G9, 7-8,alpha_12_3X,S3-1_1,Type 3 - OUT b,J16,39,7,A,,,,
S2S,P1W,G11, 1-2,alpha_12_4U,-,direct,J10,51,1,A,,,,
S2M,P2E,G11, 4-5,alpha_12_4U,-,direct,J10,51,2,A,,,,
S1M,P2E,G11, 3-6,alpha_12_4U,-,direct,J10,51,3,A,,,,
S0M,P2E,G11, 7-8,alpha_12_4U,-,direct,J10,51,4,A,,,,
X0M,P3,H9, 1-2,alpha_12_2X,-,direct,J10,39,1,A,,,,
X1M,P3,H9, 4-5,alpha_12_2X,-,direct,J10,39,2,A,,,,
X0S,P3,H9, 3-6,alpha_12_2X,-,direct,J10,39,3,A,,,,
X1S,P2E,H9, 7-8,alpha_12_2X,-,direct,J10,39,4,A,,,,
S2M,P4,H11, 1-2,alpha_12_3U,S3-2_1,Type 3 - OUT a,J16,47,5,A,,,,
S2M,P3,H11, 4-5,alpha_12_3U,S3-2_1,Type 3 - OUT b,J16,49,5,A,,,,
S0S,P4,H11, 3-6,alpha_12_3U,S3-2_1,Type 3 - OUT a,J16,47,7,A,,,,
S2S,P2E,H11, 7-8,alpha_12_3U,S3-2_1,Type 3 - OUT b,J16,49,7,A,,,,
X0M,P4,I9, 1-2,alpha_12_1X,-,direct,J10,37,1,A,,,,
X1M,P4,I9, 4-5,alpha_12_1X,-,direct,J10,37,2,A,,,,
X1S,P3,I9, 3-6,alpha_12_1X,-,direct,J10,37,3,A,,,,
X2S,P3,I9, 7-8,alpha_12_1X,-,direct,J10,37,4,A,,,,
X1M,P1W,I10, 1-2,alpha_12_8X,S4-1,Type 4 - OUT a,J10,45,1,M,,,,
X2M,P1W,I10, 4-5,alpha_12_8X,S4-1,Type 4 - OUT b,J16,45,5,A,,,,
X1M,P1W,I10, 3-6,alpha_12_8X,S4-1,Type 4 - OUT a,J10,45,3,M,,,,
S0M,P3,I11, 1-2,alpha_12_2U,-,direct,J10,49,1,A,,,,
S1M,P3,I11, 4-5,alpha_12_2U,-,direct,J10,49,2,A,,,,
S0S,P3,I11, 3-6,alpha_12_2U,-,direct,J10,49,3,A,,,,
S1S,P2E,I11, 7-8,alpha_12_2U,-,direct,J10,49,4,A,,,,
n/a,1V5,A4, 3-6,beta_15_2,S1-19,Type 1 - OUT a,J10,61,3,M,,,,
n/a,1V5,A4, 7-8,beta_15_2,S1-19,Type 1 - OUT b,J16,61,7,M,,,,
n/a,2V5,A5, 4-5,beta_25_1,-,direct,J10,66,2,A,,,,
n/a,1V5,A13, 1-2,gamma_15_1,S1-1,Type 1 - OUT a,J10,63,1,M,,,,
n/a,1V5,A13, 4-5,gamma_15_1,S1-1,Type 1 - OUT b,J16,63,5,M,,,,
n/a,1V5,A13, 3-6,gamma_15_1,S1-1,Type 1 - OUT a,J10,63,3,M,,,,
n/a,1V5,A13, 7-8,gamma_15_1,S1-1,Type 1 - OUT b,J16,63,7,M,,,,
n/a,1V5,A15, 1-2,gamma_15_3,S1-2,Type 1 - OUT a,J10,64,1,M,,,,
n/a,1V5,A15, 4-5,gamma_15_3,S1-2,Type 1 - OUT b,J16,64,5,M,,,,
n/a,1V5,A15, 3-6,gamma_15_3,S1-2,Type 1 - OUT a,J10,64,3,M,,,,
n/a,1V5,A15, 7-8,gamma_15_3,S1-2,Type 1 - OUT b,J16,64,7,M,,,,
n/a,2V5,A17, 1-2,gamma_25_2,-,direct,J16,67,5,A,,,,
n/a,2V5,A17, 4-5,gamma_25_2,-,direct,J16,67,6,A,,,,
n/a,2V5,A17, 3-6,gamma_25_2,-,direct,J16,67,7,A,,,,
n/a,2V5,A17, 7-8,gamma_25_2,-,direct,J16,67,8,A,,,,
n/a,1V5,B4, 1-2,beta_15_1,S1-3,Type 1 - OUT a,J10,60,1,M,,,,
n/a,1V5,B4, 4-5,beta_15_1,S1-3,Type 1 - OUT b,J16,60,5,M,,,,
n/a,1V5,B4, 3-6,beta_15_1,S1-3,Type 1 - OUT a,J10,60,3,M,,,,
n/a,1V5,B4, 7-8,beta_15_1,S1-3,Type 1 - OUT b,J16,60,7,M,,,,
n/a,1V5,B5, 1-2,beta_15_3,S1-4,Type 1 - OUT a,J10,62,1,M,,,,
n/a,1V5,B5, 4-5,beta_15_3,S1-4,Type 1 - OUT b,J16,62,5,M,,,,
n/a,1V5,B5, 3-6,beta_15_3,S1-4,Type 1 - OUT a,J10,62,3,M,,,,
n/a,1V5,B5, 7-8,beta_15_3,S1-4,Type 1 - OUT b,J16,62,7,M,,,,
n/a,2V5,B6, 1-2,beta_25_2,-,direct,J16,66,5,A,,,,
n/a,2V5,B6, 4-5,beta_25_2,-,direct,J16,66,6,A,,,,
n/a,2V5,B6, 3-6,beta_25_2,-,direct,J16,66,7,A,,,,
n/a,2V5,B6, 7-8,beta_25_2,-,direct,J16,66,8,A,,,,
n/a,2V5,D10, 1-2,alpha_25_2,-,direct,J16,65,5,A,,,,
n/a,2V5,D10, 4-5,alpha_25_2,-,direct,J16,65,6,A,,,,
n/a,2V5,D10, 3-6,alpha_25_2,-,direct,J16,65,7,A,,,,
n/a,2V5,D10, 7-8,alpha_25_2,-,direct,J16,65,8,A,,,,
n/a,2V5,E10, 4-5,alpha_25_1,-,direct,J10,65,2,A,,,,
n/a,2V5,E10, 3-6,alpha_25_1,-,direct,J10,65,3,A,,,,
n/a,1V5,F10, 1-2,alpha_15_3,S1-8,Type 1 - OUT a,J10,59,1,M,,,,
n/a,1V5,F10, 4-5,alpha_15_3,S1-8,Type 1 - OUT b,J16,59,5,M,,,,
n/a,1V5,F10, 3-6,alpha_15_3,S1-8,Type 1 - OUT a,J10,59,3,M,,,,
n/a,1V5,F10, 7-8,alpha_15_3,S1-8,Type 1 - OUT b,J16,59,7,M,,,,
n/a,1V5,G10, 1-2,alpha_15_2,S1-7,Type 1 - OUT a,J10,58,1,M,,,,
n/a,1V5,G10, 4-5,alpha_15_2,S1-7,Type 1 - OUT b,J16,58,5,M,,,,
n/a,1V5,G10, 3-6,alpha_15_2,S1-7,Type 1 - OUT a,J10,58,3,M,,,,
n/a,1V5,G10, 7-8,alpha_15_2,S1-7,Type 1 - OUT b,J16,58,7,M,,,,
n/a,1V5,H10, 1-2,alpha_15_1,S1-6,Type 1 - OUT a,J10,57,1,M,,,,
n/a,1V5,H10, 4-5,alpha_15_1,S1-6,Type 1 - OUT b,J16,57,5,M,,,,
n/a,1V5,H10, 3-6,alpha_15_1,S1-6,Type 1 - OUT a,J10,57,3,M,,,,
n/a,1V5,H10, 7-8,alpha_15_1,S1-6,Type 1 - OUT b,J16,57,7,M,,,,
